"COU","Country","ISIC","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","TOTAL_S","Total amounts of waste generated by sector","2004","2004","TONNE","Tonnes","3","Thousands",,,53020.95,,
"AUT","Austria","TOTAL_S","Total amounts of waste generated by sector","2006","2006","TONNE","Tonnes","3","Thousands",,,54286.6,,
"AUT","Austria","TOTAL_S","Total amounts of waste generated by sector","2008","2008","TONNE","Tonnes","3","Thousands",,,56308.77,,
"AUT","Austria","TOTAL_S","Total amounts of waste generated by sector","2010","2010","TONNE","Tonnes","3","Thousands",,,46799.58,,
"AUT","Austria","TOTAL_S","Total amounts of waste generated by sector","2012","2012","TONNE","Tonnes","3","Thousands",,,48045.09,,
"AUT","Austria","TOTAL_S","Total amounts of waste generated by sector","2014","2014","TONNE","Tonnes","3","Thousands",,,55868.3,,
"AUT","Austria","TOTAL_S","Total amounts of waste generated by sector","2016","2016","TONNE","Tonnes","3","Thousands",,,61225.04,,
"AUT","Austria","TOTAL_S","Total amounts of waste generated by sector","2018","2018","TONNE","Tonnes","3","Thousands",,,65666.13,,
"AUT","Austria","RES","Sorting residues, secondary waste","2010","2010","TONNE","Tonnes","3","Thousands",,,2482.663,,
"AUT","Austria","RES","Sorting residues, secondary waste","2012","2012","TONNE","Tonnes","3","Thousands",,,2649.118,,
"AUT","Austria","RES","Sorting residues, secondary waste","2014","2014","TONNE","Tonnes","3","Thousands",,,2418.526,,
"AUT","Austria","RES","Sorting residues, secondary waste","2016","2016","TONNE","Tonnes","3","Thousands",,,2436.425,,
"AUT","Austria","RES","Sorting residues, secondary waste","2018","2018","TONNE","Tonnes","3","Thousands",,,2429.215,,
"AUT","Austria","TOTAL","Total amounts of primary waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,44316.91,,
"AUT","Austria","TOTAL","Total amounts of primary waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,45395.97,,
"AUT","Austria","TOTAL","Total amounts of primary waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,53449.77,,
"AUT","Austria","TOTAL","Total amounts of primary waste generated","2016","2016","TONNE","Tonnes","3","Thousands",,,58788.61,,
"AUT","Austria","TOTAL","Total amounts of primary waste generated","2018","2018","TONNE","Tonnes","3","Thousands",,,63236.91,,
"AUT","Austria","INT_CAPITA","Primary waste per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,5300.388,,
"AUT","Austria","INT_CAPITA","Primary waste per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,5387.408,,
"AUT","Austria","INT_CAPITA","Primary waste per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,6255.875,,
"AUT","Austria","INT_CAPITA","Primary waste per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,6726.535,,
"AUT","Austria","INT_CAPITA","Primary waste per capita","2018","2018","KG_HAB","Kilograms per capita","0","Units",,,7155.353,,
"AUT","Austria","INT_GDP","Primary waste per unit of GDP","2010","2010","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,108.375,,
"AUT","Austria","INT_GDP","Primary waste per unit of GDP","2012","2012","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,107.132,,
"AUT","Austria","INT_GDP","Primary waste per unit of GDP","2014","2014","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,125.278,,
"AUT","Austria","INT_GDP","Primary waste per unit of GDP","2016","2016","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,133.747,,
"AUT","Austria","INT_GDP","Primary waste per unit of GDP","2018","2018","KG_1000USD","Kilograms per 1 000 US dollars","0","Units",,,137.256,,
"BEL","Belgium","TOTAL_S","Total amounts of waste generated by sector","2004","2004","TONNE","Tonnes","3","Thousands",,,52809.34,,
"BEL","Belgium","TOTAL_S","Total amounts of waste generated by sector","2006","2006","TONNE","Tonnes","3","Thousands",,,59351.72,"E","Estimated value"
"BEL","Belgium","TOTAL_S","Total amounts of waste generated by sector","2008","2008","TONNE","Tonnes","3","Thousands",,,48621.91,,
"BEL","Belgium","TOTAL_S","Total amounts of waste generated by sector","2010","2010","TONNE","Tonnes","3","Thousands",,,61345.8,,
"BEL","Belgium","TOTAL_S","Total amounts of waste generated by sector","2012","2012","TONNE","Tonnes","3","Thousands",,,53839.47,,
"BEL","Belgium","TOTAL_S","Total amounts of waste generated by sector","2014","2014","TONNE","Tonnes","3","Thousands",,,57965.39,,
"BEL","Belgium","TOTAL_S","Total amounts of waste generated by sector","2016","2016","TONNE","Tonnes","3","Thousands",,,63152.38,,
"BEL","Belgium","TOTAL_S","Total amounts of waste generated by sector","2018","2018","TONNE","Tonnes","3","Thousands",,,67613.23,,
"BEL","Belgium","RES","Sorting residues, secondary waste","2010","2010","TONNE","Tonnes","3","Thousands",,,2997.778,,
"BEL","Belgium","RES","Sorting residues, secondary waste","2012","2012","TONNE","Tonnes","3","Thousands",,,2513.503,,
