Country,Country code,Continent,Region,MPW Scenario A 2020 (kg y-1),MPW Scenario A 2040 (kg y-1),MPW Scenario A 2060 (kg y-1),MPW Scenario B 2020 (kg y-1),MPW Scenario B 2040 (kg y-1),MPW Scenario B 2060 (kg y-1),MPW Scenario C 2020 (kg y-1),MPW Scenario C 2040 (kg y-1),MPW Scenario C 2060 (kg y-1),,,,
Afghanistan,4,Asia,Southern Asia,5.13E+08,9.08E+08,1.27E+09,5.06E+08,8.25E+08,1.03E+09,4.59E+08,3.74E+08,4.66E+08,,,,
Albania,8,Europe,Southern Europe,9.23E+07,1.17E+08,1.26E+08,8.09E+07,4.40E+07,2.52E+06,6.05E+07,1.62E+07,4.77E+05,,,,
Algeria,12,Africa,Northern Africa,9.76E+08,1.55E+09,2.12E+09,8.82E+08,3.77E+08,5.30E+07,7.25E+08,1.51E+08,1.11E+07,,,,
Angola,24,Africa,Middle Africa,2.30E+08,7.07E+08,1.54E+09,2.27E+08,5.23E+08,6.25E+08,1.66E+08,1.91E+08,2.25E+08,,,,
Antigua and Barbuda,28,Latin America and Caribbean,Caribbean,1.41E+06,1.88E+06,2.20E+06,7.34E+05,1.31E+05,1.53E+05,6.61E+05,2.99E+04,3.51E+04,,,,
Argentina,32,Latin America and Caribbean,South America,6.93E+08,1.02E+09,1.33E+09,5.11E+08,6.12E+07,7.98E+07,3.46E+08,1.05E+07,1.36E+07,,,,
Armenia,51,Asia,Western Asia,5.32E+05,8.64E+05,1.04E+06,5.32E+05,8.64E+05,1.04E+06,2.66E+05,2.21E+05,2.66E+05,,,,
Australia,36,Oceania,Australia/New Zealand,1.18E+07,1.58E+07,1.97E+07,1.18E+07,1.58E+07,1.97E+07,5.92E+06,7.92E+06,9.84E+06,,,,
Austria,40,Europe,Western Europe,1.08E+07,1.22E+07,1.31E+07,1.08E+07,1.22E+07,1.31E+07,4.91E+06,2.77E+06,2.97E+06,,,,
Azerbaijan,31,Asia,Western Asia,2.93E+07,5.06E+07,6.64E+07,1.91E+07,4.60E+06,6.04E+06,1.73E+07,1.05E+06,1.39E+06,,,,
Bahamas,44,Latin America and Caribbean,Caribbean,3.80E+06,5.52E+06,6.98E+06,2.48E+06,4.10E+05,5.18E+05,2.24E+06,9.38E+04,1.19E+05,,,,
Bahrain,48,Asia,Western Asia,2.70E+06,3.56E+06,4.06E+06,2.70E+06,3.56E+06,4.06E+06,1.13E+06,7.41E+05,8.44E+05,,,,
Bangladesh,50,Asia,Southern Asia,1.37E+09,2.21E+09,2.81E+09,1.30E+09,1.70E+09,1.52E+09,1.29E+09,1.27E+09,1.13E+09,,,,
