"","Year","Emissions growth to 2050","Emissions level to 2020","Emissions stop in 2020"
"1",1950,0,0,0
"2",1951,0,0,0
"3",1952,0,0,0
"4",1953,0,0,0
"5",1954,100,100,100
"6",1955,100,100,100
"7",1956,200,200,200
"8",1957,200,200,200
"9",1958,300,300,300
"10",1959,400,400,400
"11",1960,600,600,600
"12",1961,700,700,700
"13",1962,900,900,900
"14",1963,1200,1200,1200
"15",1964,1500,1500,1500
"16",1965,1800,1800,1800
"17",1966,2200,2200,2200
"18",1967,2700,2700,2700
"19",1968,3300,3300,3300
"20",1969,3900,3900,3900
"21",1970,4700,4700,4700
"22",1971,5600,5600,5600
"23",1972,6600,6600,6600
"24",1973,7900,7900,7900
"25",1974,9300,9300,9300
"26",1975,10800,10800,10800
"27",1976,12600,12600,12600
"28",1977,14600,14600,14600
"29",1978,16800,16800,16800
"30",1979,19300,19300,19300
"31",1980,22000,22000,22000
"32",1981,25000,25000,25000
"33",1982,28200,28200,28200
"34",1983,31700,31700,31700
"35",1984,35600,35600,35600
"36",1985,39700,39700,39700
"37",1986,44200,44200,44200
"38",1987,49100,49100,49100
"39",1988,54300,54300,54300
"40",1989,59900,59900,59900
"41",1990,65900,65900,65900
"42",1991,72400,72400,72400
"43",1992,79300,79300,79300
"44",1993,86800,86800,86800
"45",1994,94700,94700,94700
"46",1995,103100,103100,103100
"47",1996,112100,112100,112100
"48",1997,121700,121700,121700
"49",1998,132000,132000,132000
"50",1999,142900,142900,142900
"51",2000,154500,154500,154500
"52",2001,166900,166900,166900
"53",2002,180100,180100,180100
"54",2003,194100,194100,194100
"55",2004,209000,209000,209000
"56",2005,224700,224700,224700
"57",2006,241400,241400,241400
"58",2007,259200,259200,259200
"59",2008,277900,277900,277900
"60",2009,297700,297700,297700
"61",2010,318500,318500,318500
"62",2011,340400,340400,340400
"63",2012,363400,363400,363400
"64",2013,387600,387600,387600
"65",2014,413100,413100,413100
"66",2015,439800,439800,439800
"67",2016,467800,467800,467800
"68",2017,497200,497200,497200
"69",2018,528000,528000,528000
"70",2019,560200,560200,560200
"71",2020,594000,594000,594000
"72",2021,629300,629300,628100
"73",2022,666300,666200,662300
"74",2023,704900,704700,696600
"75",2024,745200,744700,730600
"76",2025,787300,786300,764500
"77",2026,831300,829400,798000
"78",2027,877200,874000,831100
"79",2028,925000,920200,863800
"80",2029,974900,967800,896100
"81",2030,1027000,1016900,928000
"82",2031,1081200,1067400,959500
"83",2032,1137700,1119400,990600
"84",2033,1196600,1172800,1021200
"85",2034,1257900,1227500,1051400
"86",2035,1321700,1283700,1081200
"87",2036,1388200,1341100,1110500
"88",2037,1457300,1400000,1139300
"89",2038,1529300,1460100,1167700
"90",2039,1604200,1521500,1195700
"91",2040,1682100,1584100,1223300
"92",2041,1763100,1648000,1250400
"93",2042,1847300,1713200,1277100
"94",2043,1934900,1779500,1303500
"95",2044,2026000,1847000,1329400
"96",2045,2120700,1915700,1355000
"97",2046,2219100,1985500,1380100
"98",2047,2321300,2056500,1405000
"99",2048,2427600,2128600,1429400
"100",2049,2538000,2201800,1453500
"101",2050,2652700,2276000,1477200
