"","Year","Entity","Microplastic","Macroplastic","Predicted"
"1",1950,"Emissions growth to 2050",0,0,"False"
"2",1950,"Emissions level to 2020",0,0,"False"
"3",1950,"Emissions stop in 2020",0,0,"False"
"4",1951,"Emissions growth to 2050",0,400,"False"
"5",1951,"Emissions level to 2020",0,400,"False"
"6",1951,"Emissions stop in 2020",0,400,"False"
"7",1952,"Emissions growth to 2050",0,600,"False"
"8",1952,"Emissions level to 2020",0,600,"False"
"9",1952,"Emissions stop in 2020",0,600,"False"
"10",1953,"Emissions growth to 2050",0,1000,"False"
"11",1953,"Emissions level to 2020",0,1000,"False"
"12",1953,"Emissions stop in 2020",0,1000,"False"
"13",1954,"Emissions growth to 2050",100,1300,"False"
"14",1954,"Emissions level to 2020",100,1300,"False"
"15",1954,"Emissions stop in 2020",100,1300,"False"
"16",1955,"Emissions growth to 2050",100,1800,"False"
"17",1955,"Emissions level to 2020",100,1800,"False"
"18",1955,"Emissions stop in 2020",100,1800,"False"
"19",1956,"Emissions growth to 2050",200,2400,"False"
"20",1956,"Emissions level to 2020",200,2400,"False"
"21",1956,"Emissions stop in 2020",200,2400,"False"
"22",1957,"Emissions growth to 2050",200,3000,"False"
"23",1957,"Emissions level to 2020",200,3000,"False"
"24",1957,"Emissions stop in 2020",200,3000,"False"
"25",1958,"Emissions growth to 2050",300,3800,"False"
"26",1958,"Emissions level to 2020",300,3800,"False"
"27",1958,"Emissions stop in 2020",300,3800,"False"
"28",1959,"Emissions growth to 2050",400,4600,"False"
"29",1959,"Emissions level to 2020",400,4600,"False"
"30",1959,"Emissions stop in 2020",400,4600,"False"
"31",1960,"Emissions growth to 2050",600,5600,"False"
"32",1960,"Emissions level to 2020",600,5600,"False"
"33",1960,"Emissions stop in 2020",600,5600,"False"
"34",1961,"Emissions growth to 2050",700,6700,"False"
"35",1961,"Emissions level to 2020",700,6700,"False"
"36",1961,"Emissions stop in 2020",700,6700,"False"
"37",1962,"Emissions growth to 2050",900,8100,"False"
"38",1962,"Emissions level to 2020",900,8100,"False"
"39",1962,"Emissions stop in 2020",900,8100,"False"
"40",1963,"Emissions growth to 2050",1200,9600,"False"
"41",1963,"Emissions level to 2020",1200,9600,"False"
"42",1963,"Emissions stop in 2020",1200,9600,"False"
"43",1964,"Emissions growth to 2050",1500,11500,"False"
"44",1964,"Emissions level to 2020",1500,11500,"False"
"45",1964,"Emissions stop in 2020",1500,11500,"False"
"46",1965,"Emissions growth to 2050",1800,13500,"False"
"47",1965,"Emissions level to 2020",1800,13500,"False"
"48",1965,"Emissions stop in 2020",1800,13500,"False"
"49",1966,"Emissions growth to 2050",2200,16000,"False"
"50",1966,"Emissions level to 2020",2200,16000,"False"
"51",1966,"Emissions stop in 2020",2200,16000,"False"
"52",1967,"Emissions growth to 2050",2700,18800,"False"
"53",1967,"Emissions level to 2020",2700,18800,"False"
"54",1967,"Emissions stop in 2020",2700,18800,"False"
"55",1968,"Emissions growth to 2050",3300,22000,"False"
"56",1968,"Emissions level to 2020",3300,22000,"False"
"57",1968,"Emissions stop in 2020",3300,22000,"False"
"58",1969,"Emissions growth to 2050",3900,25900,"False"
"59",1969,"Emissions level to 2020",3900,25900,"False"
"60",1969,"Emissions stop in 2020",3900,25900,"False"
"61",1970,"Emissions growth to 2050",4700,30200,"False"
"62",1970,"Emissions level to 2020",4700,30200,"False"
"63",1970,"Emissions stop in 2020",4700,30200,"False"
"64",1971,"Emissions growth to 2050",5600,34900,"False"
"65",1971,"Emissions level to 2020",5600,34900,"False"
"66",1971,"Emissions stop in 2020",5600,34900,"False"
"67",1972,"Emissions growth to 2050",6600,40300,"False"
"68",1972,"Emissions level to 2020",6600,40300,"False"
"69",1972,"Emissions stop in 2020",6600,40300,"False"
"70",1973,"Emissions growth to 2050",7900,46500,"False"
"71",1973,"Emissions level to 2020",7900,46500,"False"
"72",1973,"Emissions stop in 2020",7900,46500,"False"
"73",1974,"Emissions growth to 2050",9300,53100,"False"
"74",1974,"Emissions level to 2020",9300,53100,"False"
"75",1974,"Emissions stop in 2020",9300,53100,"False"
"76",1975,"Emissions growth to 2050",10800,59200,"False"
"77",1975,"Emissions level to 2020",10800,59200,"False"
"78",1975,"Emissions stop in 2020",10800,59200,"False"
"79",1976,"Emissions growth to 2050",12600,66200,"False"
"80",1976,"Emissions level to 2020",12600,66200,"False"
"81",1976,"Emissions stop in 2020",12600,66200,"False"
"82",1977,"Emissions growth to 2050",14600,73600,"False"
"83",1977,"Emissions level to 2020",14600,73600,"False"
"84",1977,"Emissions stop in 2020",14600,73600,"False"
"85",1978,"Emissions growth to 2050",16800,81600,"False"
"86",1978,"Emissions level to 2020",16800,81600,"False"
"87",1978,"Emissions stop in 2020",16800,81600,"False"
"88",1979,"Emissions growth to 2050",19300,90400,"False"
"89",1979,"Emissions level to 2020",19300,90400,"False"
"90",1979,"Emissions stop in 2020",19300,90400,"False"
"91",1980,"Emissions growth to 2050",22000,99300,"False"
"92",1980,"Emissions level to 2020",22000,99300,"False"
"93",1980,"Emissions stop in 2020",22000,99300,"False"
"94",1981,"Emissions growth to 2050",25000,108400,"False"
"95",1981,"Emissions level to 2020",25000,108400,"False"
"96",1981,"Emissions stop in 2020",25000,108400,"False"
"97",1982,"Emissions growth to 2050",28200,117800,"False"
"98",1982,"Emissions level to 2020",28200,117800,"False"
"99",1982,"Emissions stop in 2020",28200,117800,"False"
"100",1983,"Emissions growth to 2050",31700,127800,"False"
"101",1983,"Emissions level to 2020",31700,127800,"False"
"102",1983,"Emissions stop in 2020",31700,127800,"False"
"103",1984,"Emissions growth to 2050",35600,138500,"False"
"104",1984,"Emissions level to 2020",35600,138500,"False"
"105",1984,"Emissions stop in 2020",35600,138500,"False"
"106",1985,"Emissions growth to 2050",39700,149600,"False"
"107",1985,"Emissions level to 2020",39700,149600,"False"
"108",1985,"Emissions stop in 2020",39700,149600,"False"
"109",1986,"Emissions growth to 2050",44200,161300,"False"
"110",1986,"Emissions level to 2020",44200,161300,"False"
"111",1986,"Emissions stop in 2020",44200,161300,"False"
"112",1987,"Emissions growth to 2050",49100,174000,"False"
"113",1987,"Emissions level to 2020",49100,174000,"False"
"114",1987,"Emissions stop in 2020",49100,174000,"False"
"115",1988,"Emissions growth to 2050",54300,187300,"False"
"116",1988,"Emissions level to 2020",54300,187300,"False"
"117",1988,"Emissions stop in 2020",54300,187300,"False"
"118",1989,"Emissions growth to 2050",59900,201200,"False"
"119",1989,"Emissions level to 2020",59900,201200,"False"
"120",1989,"Emissions stop in 2020",59900,201200,"False"
"121",1990,"Emissions growth to 2050",65900,215900,"False"
"122",1990,"Emissions level to 2020",65900,215900,"False"
"123",1990,"Emissions stop in 2020",65900,215900,"False"
"124",1991,"Emissions growth to 2050",72400,231000,"False"
"125",1991,"Emissions level to 2020",72400,231000,"False"
"126",1991,"Emissions stop in 2020",72400,231000,"False"
"127",1992,"Emissions growth to 2050",79300,247000,"False"
"128",1992,"Emissions level to 2020",79300,247000,"False"
"129",1992,"Emissions stop in 2020",79300,247000,"False"
"130",1993,"Emissions growth to 2050",86800,263600,"False"
"131",1993,"Emissions level to 2020",86800,263600,"False"
"132",1993,"Emissions stop in 2020",86800,263600,"False"
