"","country","year","Energy Supply per capita"
"1","Afghanistan","1990","4"
"2","Afghanistan","1994","2"
"3","Afghanistan","1998","1"
"4","Afghanistan","2002","1"
"5","Afghanistan","2006","1"
"6","Afghanistan","2010","5"
"7","Afghanistan","2014","4"
"8","Albania","1990","28"
"9","Albania","1994","14"
"10","Albania","1998","14"
"11","Albania","2002","27"
"12","Albania","2006","28"
"13","Albania","2010","31"
"14","Albania","2014","37"
"15","Algeria","1990","43"
"16","Algeria","1994","41"
"17","Algeria","1998","50"
"18","Algeria","2002","40"
"19","Algeria","2006","43"
"20","Algeria","2010","45"
"21","Algeria","2014","54"
"22","Andorra","1990","130"
"23","Andorra","1994","109"
"24","Andorra","1998","129"
"25","Andorra","2002","133"
"26","Andorra","2006","122"
"27","Andorra","2010","114"
"28","Andorra","2014","111"
"29","Angola","1990","23"
"30","Angola","1994","20"
"31","Angola","1998","21"
"32","Angola","2002","21"
"33","Angola","2006","22"
"34","Angola","2010","20"
"35","Angola","2014","26"
"36","Anguilla","1990","87"
"37","Anguilla","1994","98"
"38","Anguilla","1998","103"
"39","Anguilla","2002","111"
"40","Anguilla","2006","147"
"41","Anguilla","2010","155"
"42","Anguilla","2014","136"
"43","Antigua and Barbuda","1990","53"
"44","Antigua and Barbuda","1994","50"
"45","Antigua and Barbuda","1998","54"
"46","Antigua and Barbuda","2002","60"
"47","Antigua and Barbuda","2006","66"
"48","Antigua and Barbuda","2010","69"
"49","Antigua and Barbuda","2014","68"
"50","Argentina","1990","59"
"51","Argentina","1994","61"
"52","Argentina","1998","68"
"53","Argentina","2002","62"
"54","Argentina","2006","80"
"55","Argentina","2010","80"
"56","Argentina","2014","78"
"57","Armenia","1990","..."
"58","Armenia","1994","17"
"59","Armenia","1998","25"
"60","Armenia","2002","26"
"61","Armenia","2006","35"
"62","Armenia","2010","41"
"63","Armenia","2014","49"
"64","Aruba","1990","108"
"65","Aruba","1994","118"
"66","Aruba","1998","126"
"67","Aruba","2002","575"
"68","Aruba","2006","566"
"69","Aruba","2010","550"
"70","Aruba","2014","120"
"71","Australia","1990","217"
"72","Australia","1994","221"
"73","Australia","1998","234"
"74","Australia","2002","239"
"75","Australia","2006","242"
"76","Australia","2010","246"
"77","Australia","2014","226"
"78","Austria","1990","136"
"79","Austria","1994","136"
"80","Austria","1998","151"
"81","Austria","2002","158"
"82","Austria","2006","170"
"83","Austria","2010","168"
"84","Austria","2014","156"
"85","Azerbaijan","1990","..."
"86","Azerbaijan","1994","88"
"87","Azerbaijan","1998","64"
"88","Azerbaijan","2002","59"
"89","Azerbaijan","2006","67"
"90","Azerbaijan","2010","54"
"91","Azerbaijan","2014","62"
"92","Bahamas","1990","100"
"93","Bahamas","1994","88"
"94","Bahamas","1998","91"
"95","Bahamas","2002","88"
"96","Bahamas","2006","80"
"97","Bahamas","2010","96"
"98","Bahamas","2014","89"
"99","Bahrain","1990","433"
"100","Bahrain","1994","464"
"101","Bahrain","1998","518"
"102","Bahrain","2002","427"
"103","Bahrain","2006","428"
"104","Bahrain","2010","413"
"105","Bahrain","2014","418"
"106","Bangladesh","1990","7"
"107","Bangladesh","1994","7"
"108","Bangladesh","1998","8"
"109","Bangladesh","2002","8"
"110","Bangladesh","2006","9"
"111","Bangladesh","2010","10"
"112","Bangladesh","2014","11"
"113","Barbados","1990","62"
"114","Barbados","1994","44"
"115","Barbados","1998","55"
"116","Barbados","2002","59"
"117","Barbados","2006","65"
"118","Barbados","2010","72"
"119","Barbados","2014","59"
"120","Belarus","1990","..."
"121","Belarus","1994","109"
"122","Belarus","1998","102"
"123","Belarus","2002","106"
"124","Belarus","2006","122"
"125","Belarus","2010","122"
"126","Belarus","2014","123"
"127","Belgium","1990","201"
"128","Belgium","1994","218"
"129","Belgium","1998","236"
"130","Belgium","2002","226"
"131","Belgium","2006","228"
"132","Belgium","2010","228"
"133","Belgium","2014","195"
"134","Belize","1990","44"
"135","Belize","1994","44"
"136","Belize","1998","42"
"137","Belize","2002","43"
"138","Belize","2006","42"
"139","Belize","2010","40"
"140","Belize","2014","37"
"141","Benin","1990","16"
"142","Benin","1994","16"
"143","Benin","1998","15"
"144","Benin","2002","14"
"145","Benin","2006","16"
"146","Benin","2010","17"
"147","Benin","2014","17"
"148","Bermuda","1990","118"
"149","Bermuda","1994","124"
"150","Bermuda","1998","118"
"151","Bermuda","2002","121"
"152","Bermuda","2006","139"
"153","Bermuda","2010","138"
"154","Bermuda","2014","157"
"155","Bhutan","1990","67"
"156","Bhutan","1994","73"
"157","Bhutan","1998","79"
"158","Bhutan","2002","76"
"159","Bhutan","2006","73"
"160","Bhutan","2010","78"
"161","Bhutan","2014","83"
"162","Bolivia","1990","16"
"163","Bolivia","1994","19"
"164","Bolivia","1998","23"
"165","Bolivia","2002","22"
"166","Bolivia","2006","29"
"167","Bolivia","2010","26"
"168","Bolivia","2014","32"
"169","Bosnia and Herzegovina","1990","..."
"170","Bosnia and Herzegovina","1994","17"
"171","Bosnia and Herzegovina","1998","41"
"172","Bosnia and Herzegovina","2002","48"
"173","Bosnia and Herzegovina","2006","58"
"174","Bosnia and Herzegovina","2010","72"
"175","Bosnia and Herzegovina","2014","71"
"176","Botswana","1990","28"
"177","Botswana","1994","28"
"178","Botswana","1998","29"
"179","Botswana","2002","34"
"180","Botswana","2006","35"
"181","Botswana","2010","37"
"182","Botswana","2014","45"
"183","Brazil","1990","40"
"184","Brazil","1994","43"
"185","Brazil","1998","46"
"186","Brazil","2002","47"
"187","Brazil","2006","51"
"188","Brazil","2010","56"
"189","Brazil","2014","62"
"190","British Virgin Islands","1990","58"
"191","British Virgin Islands","1994","78"
"192","British Virgin Islands","1998","87"
"193","British Virgin Islands","2002","91"
"194","British Virgin Islands","2006","117"
"195","British Virgin Islands","2010","103"
"196","British Virgin Islands","2014","101"
"197","Brunei Darussalam","1990","424"
"198","Brunei Darussalam","1994","258"
"199","Brunei Darussalam","1998","260"
"200","Brunei Darussalam","2002","199"
"201","Brunei Darussalam","2006","201"
"202","Brunei Darussalam","2010","349"
"203","Brunei Darussalam","2014","362"
"204","Bulgaria","1990","134"
"205","Bulgaria","1994","104"
"206","Bulgaria","1998","103"
"207","Bulgaria","2002","101"
"208","Bulgaria","2006","110"
"209","Bulgaria","2010","100"
"210","Bulgaria","2014","103"
"211","Burkina Faso","1990","10"
"212","Burkina Faso","1994","10"
"213","Burkina Faso","1998","10"
"214","Burkina Faso","2002","5"
"215","Burkina Faso","2006","8"
"216","Burkina Faso","2010","9"
"217","Burkina Faso","2014","9"
"218","Burundi","1990","9"
"219","Burundi","1994","9"
"220","Burundi","1998","9"
"221","Burundi","2002","9"
"222","Burundi","2006","8"
"223","Burundi","2010","7"
"224","Burundi","2014","6"
"225","Cabo Verde","1990","7"
"226","Cabo Verde","1994","7"
"227","Cabo Verde","1998","8"
"228","Cabo Verde","2002","12"
"229","Cabo Verde","2006","17"
"230","Cabo Verde","2010","18"
"231","Cabo Verde","2014","16"
"232","Cambodia","1990","13"
"233","Cambodia","1994","11"
"234","Cambodia","1998","12"
"235","Cambodia","2002","13"
"236","Cambodia","2006","11"
"237","Cambodia","2010","16"
"238","Cambodia","2014","17"
"239","Cameroon","1990","14"
"240","Cameroon","1994","17"
"241","Cameroon","1998","17"
"242","Cameroon","2002","17"
"243","Cameroon","2006","16"
"244","Cameroon","2010","15"
"245","Cameroon","2014","14"
"246","Canada","1990","319"
"247","Canada","1994","333"
"248","Canada","1998","333"
"249","Canada","2002","335"
"250","Canada","2006","356"
"251","Canada","2010","318"
"252","Canada","2014","329"
"253","Cayman Islands","1990","138"
"254","Cayman Islands","1994","166"
"255","Cayman Islands","1998","168"
"256","Cayman Islands","2002","153"
"257","Cayman Islands","2006","128"
"258","Cayman Islands","2010","144"
"259","Cayman Islands","2014","133"
"260","Central African Republic","1990","11"
"261","Central African Republic","1994","10"
"262","Central African Republic","1998","8"
"263","Central African Republic","2002","6"
"264","Central African Republic","2006","5"
"265","Central African Republic","2010","5"
"266","Central African Republic","2014","5"
"267","Chad","1990","8"
"268","Chad","1994","8"
"269","Chad","1998","8"
"270","Chad","2002","7"
"271","Chad","2006","7"
"272","Chad","2010","7"
"273","Chad","2014","6"
"274","Chile","1990","45"
"275","Chile","1994","51"
"276","Chile","1998","67"
"277","Chile","2002","68"
"278","Chile","2006","75"
"279","Chile","2010","76"
"280","Chile","2014","83"
"281","China","1990","27"
"282","China","1994","30"
"283","China","1998","32"
"284","China","2002","38"
"285","China","2006","58"
"286","China","2010","75"
"287","China","2014","86"
"288","China, Hong Kong SAR","1990","54"
"289","China, Hong Kong SAR","1994","66"
"290","China, Hong Kong SAR","1998","83"
"291","China, Hong Kong SAR","2002","80"
"292","China, Hong Kong SAR","2006","82"
"293","China, Hong Kong SAR","2010","77"
"294","China, Hong Kong SAR","2014","82"
"295","China, Macao SAR","1990","40"
"296","China, Macao SAR","1994","46"
"297","China, Macao SAR","1998","54"
"298","China, Macao SAR","2002","51"
"299","China, Macao SAR","2006","59"
"300","China, Macao SAR","2010","60"
"301","China, Macao SAR","2014","65"
"302","Colombia","1990","30"
"303","Colombia","1994","32"
"304","Colombia","1998","30"
"305","Colombia","2002","27"
"306","Colombia","2006","28"
"307","Colombia","2010","31"
"308","Colombia","2014","34"
"309","Comoros","1990","5"
"310","Comoros","1994","6"
"311","Comoros","1998","6"
"312","Comoros","2002","6"
"313","Comoros","2006","7"
"314","Comoros","2010","7"
"315","Comoros","2014","6"
"316","Republic of the Congo","1990","15"
"317","Republic of the Congo","1994","18"
"318","Republic of the Congo","1998","10"
"319","Republic of the Congo","2002","11"
"320","Republic of the Congo","2006","13"
"321","Republic of the Congo","2010","16"
"322","Republic of the Congo","2014","23"
"323","Cook Islands","1990","28"
"324","Cook Islands","1994","30"
"325","Cook Islands","1998","35"
"326","Cook Islands","2002","19"
"327","Cook Islands","2006","35"
"328","Cook Islands","2010","39"
"329","Cook Islands","2014","52"
"330","Costa Rica","1990","22"
"331","Costa Rica","1994","32"
"332","Costa Rica","1998","30"
"333","Costa Rica","2002","38"
"334","Costa Rica","2006","43"
"335","Costa Rica","2010","45"
"336","Costa Rica","2014","45"
"337","C?te d'Ivoire","1990","16"
"338","C?te d'Ivoire","1994","15"
"339","C?te d'Ivoire","1998","17"
"340","C?te d'Ivoire","2002","17"
"341","C?te d'Ivoire","2006","23"
"342","C?te d'Ivoire","2010","21"
"343","C?te d'Ivoire","2014","26"
"344","Croatia","1990","..."
"345","Croatia","1994","68"
"346","Croatia","1998","80"
"347","Croatia","2002","84"
"348","Croatia","2006","91"
"349","Croatia","2010","90"
"350","Croatia","2014","79"
"351","Cuba","1990","61"
"352","Cuba","1994","38"
"353","Cuba","1998","39"
"354","Cuba","2002","40"
"355","Cuba","2006","36"
"356","Cuba","2010","45"
"357","Cuba","2014","38"
"358","Cura?ao","1990","..."
"359","Cura?ao","1994","..."
"360","Cura?ao","1998","..."
"361","Cura?ao","2002","..."
"362","Cura?ao","2006","..."
"363","Cura?ao","2010","..."
"364","Cura?ao","2014","536"
"365","Cyprus","1990","75"
"366","Cyprus","1994","97"
"367","Cyprus","1998","91"
"368","Cyprus","2002","92"
"369","Cyprus","2006","93"
"370","Cyprus","2010","93"
"371","Cyprus","2014","72"
"372","Czechia","1990","..."
"373","Czechia","1994","168"
"374","Czechia","1998","171"
"375","Czechia","2002","176"
"376","Czechia","2006","189"
"377","Czechia","2010","180"
"378","Czechia","2014","166"
"379","Democratic Republic of the Congo","1990","13"
"380","Democratic Republic of the Congo","1994","13"
"381","Democratic Republic of the Congo","1998","13"
"382","Democratic Republic of the Congo","2002","12"
"383","Democratic Republic of the Congo","2006","12"
"384","Democratic Republic of the Congo","2010","13"
"385","Democratic Republic of the Congo","2014","16"
"386","Denmark","1990","141"
"387","Denmark","1994","157"
"388","Denmark","1998","158"
"389","Denmark","2002","148"
"390","Denmark","2006","156"
"391","Denmark","2010","147"
"392","Denmark","2014","119"
"393","Djibouti","1990","12"
"394","Djibouti","1994","11"
"395","Djibouti","1998","11"
"396","Djibouti","2002","11"
"397","Djibouti","2006","11"
"398","Djibouti","2010","13"
"399","Djibouti","2014","10"
"400","Dominica","1990","14"
"401","Dominica","1994","15"
"402","Dominica","1998","18"
"403","Dominica","2002","24"
"404","Dominica","2006","31"
"405","Dominica","2010","36"
"406","Dominica","2014","36"
"407","Dominican Republic","1990","20"
"408","Dominican Republic","1994","24"
"409","Dominican Republic","1998","32"
"410","Dominican Republic","2002","34"
