"","ï..COU","Country","ISIC","Variable","YEA","Year","Unit.Code","Unit","PowerCode.Code","PowerCode","Reference.Period.Code","Reference.Period","Value","Flag.Codes","Flags"
"1","AUT","Austria","INT_CAPITA","Primary waste per capita",2010,2010,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,5300.388,"",""
"2","AUT","Austria","INT_CAPITA","Primary waste per capita",2012,2012,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,5387.408,"",""
"3","AUT","Austria","INT_CAPITA","Primary waste per capita",2014,2014,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,6255.875,"",""
"4","AUT","Austria","INT_CAPITA","Primary waste per capita",2016,2016,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,6726.535,"",""
"5","AUT","Austria","INT_CAPITA","Primary waste per capita",2018,2018,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,7155.353,"",""
"6","BEL","Belgium","INT_CAPITA","Primary waste per capita",2010,2010,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,5355.197,"",""
"7","BEL","Belgium","INT_CAPITA","Primary waste per capita",2012,2012,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4637.436,"",""
"8","BEL","Belgium","INT_CAPITA","Primary waste per capita",2014,2014,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4885.896,"",""
"9","BEL","Belgium","INT_CAPITA","Primary waste per capita",2016,2016,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,5242.922,"",""
"10","BEL","Belgium","INT_CAPITA","Primary waste per capita",2018,2018,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,5583.501,"",""
"11","CZE","Czech Republic","INT_CAPITA","Primary waste per capita",2010,2010,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,2194.652,"",""
"12","CZE","Czech Republic","INT_CAPITA","Primary waste per capita",2012,2012,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,2117.136,"",""
"13","CZE","Czech Republic","INT_CAPITA","Primary waste per capita",2014,2014,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,2129.518,"",""
"14","CZE","Czech Republic","INT_CAPITA","Primary waste per capita",2016,2016,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,2298.283,"",""
"15","CZE","Czech Republic","INT_CAPITA","Primary waste per capita",2018,2018,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,2516.252,"",""
"16","DNK","Denmark","INT_CAPITA","Primary waste per capita",2010,2010,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,2754.185,"",""
"17","DNK","Denmark","INT_CAPITA","Primary waste per capita",2012,2012,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,2853.313,"",""
"18","DNK","Denmark","INT_CAPITA","Primary waste per capita",2014,2014,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,3501.362,"",""
"19","DNK","Denmark","INT_CAPITA","Primary waste per capita",2016,2016,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,3476.444,"",""
"20","DNK","Denmark","INT_CAPITA","Primary waste per capita",2018,2018,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,3514.33,"",""
"21","FIN","Finland","INT_CAPITA","Primary waste per capita",2010,2010,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,19278.805,"",""
"22","FIN","Finland","INT_CAPITA","Primary waste per capita",2012,2012,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,16851.825,"",""
"23","FIN","Finland","INT_CAPITA","Primary waste per capita",2014,2014,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,17422.791,"",""
"24","FIN","Finland","INT_CAPITA","Primary waste per capita",2016,2016,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,22110.543,"",""
"25","FIN","Finland","INT_CAPITA","Primary waste per capita",2018,2018,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,22978.828,"",""
"26","FRA","France","INT_CAPITA","Primary waste per capita",2010,2010,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,5338.996,"",""
"27","FRA","France","INT_CAPITA","Primary waste per capita",2012,2012,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,5121.314,"",""
"28","FRA","France","INT_CAPITA","Primary waste per capita",2014,2014,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4759.485,"",""
"29","FRA","France","INT_CAPITA","Primary waste per capita",2016,2016,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4668.061,"",""
"30","FRA","France","INT_CAPITA","Primary waste per capita",2018,2018,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4936.991,"",""
"31","DEU","Germany","INT_CAPITA","Primary waste per capita",2010,2010,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4043.936,"",""
"32","DEU","Germany","INT_CAPITA","Primary waste per capita",2012,2012,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4100.892,"",""
"33","DEU","Germany","INT_CAPITA","Primary waste per capita",2014,2014,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4280.66,"",""
"34","DEU","Germany","INT_CAPITA","Primary waste per capita",2016,2016,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4342.666,"",""
"35","DEU","Germany","INT_CAPITA","Primary waste per capita",2018,2018,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4360.972,"",""
"36","GRC","Greece","INT_CAPITA","Primary waste per capita",2010,2010,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,6318.964,"",""
"37","GRC","Greece","INT_CAPITA","Primary waste per capita",2012,2012,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,6525.361,"",""
"38","GRC","Greece","INT_CAPITA","Primary waste per capita",2014,2014,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,6381.67,"",""
"39","GRC","Greece","INT_CAPITA","Primary waste per capita",2016,2016,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,6667.565,"",""
"40","GRC","Greece","INT_CAPITA","Primary waste per capita",2018,2018,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,4137.846,"",""
"41","HUN","Hungary","INT_CAPITA","Primary waste per capita",2010,2010,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,1615.513,"",""
"42","HUN","Hungary","INT_CAPITA","Primary waste per capita",2012,2012,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,1575.329,"",""
"43","HUN","Hungary","INT_CAPITA","Primary waste per capita",2014,2014,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,1549.74,"",""
"44","HUN","Hungary","INT_CAPITA","Primary waste per capita",2016,2016,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,1496.955,"",""
"45","HUN","Hungary","INT_CAPITA","Primary waste per capita",2018,2018,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,1737.458,"",""
"46","ISL","Iceland","INT_CAPITA","Primary waste per capita",2010,2010,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,1582.746,"",""
"47","ISL","Iceland","INT_CAPITA","Primary waste per capita",2012,2012,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,1625.571,"",""
"48","ISL","Iceland","INT_CAPITA","Primary waste per capita",2014,2014,"KG_HAB","Kilograms per capita",0,"Units",NA,NA,2473.955,"",""
